아이디,PK,단어
travellerjun,1422651373,5668
 , ,서울
 , ,관악
 , ,남현동
 , ,위치
 , ,청송
 , ,산
 , ,오징어
 , ,오징어
 , ,제철
 , ,오징어
 , ,전문점
 , ,오징어
 , ,회
 , ,오징어
 , ,찜
 , ,반
 , ,주문
 , ,오징어
 , ,회
 , ,깻잎
 , ,부추
 , ,양파
 , ,고추
 , ,등
 , ,야채
 , ,회
 , ,기호
 , ,앞
 , ,접시
 , ,초고추장
 , ,추천
 , ,초고추장
 , ,고추냉이
 , ,살짝
 , ,콤
 , ,오징어
 , ,회
 , ,쫄깃쫄깃하
 , ,여름
 , ,입맛
 , ,메뉴
 , ,오징어
 , ,내장
 , ,터트려
 , ,간
 , ,찜
 , ,오징어
 , ,향
 , ,메뉴
 , ,내장
 , ,먹물
 , ,소스
 , ,오징어
 , ,식감
 , ,단
 , ,실내
 , ,움
 , ,분위기
 , ,수
 , ,점
 , ,가격
 , ,저렴
 , ,한편
 , ,서울
 , ,이정
 , ,곳
 , ,제
 , ,점수
 , ,요
 , ,점
 , ,만점
 , ,점
 , ,서울
 , ,관악
 , ,서울대
 , ,입구
 , ,부터
 , ,사당
 , ,동네
 , ,바퀴
 , ,식당
 , ,언제
 , ,제
 , ,여기
 , ,갈수
 , ,이
 , ,간판
 , ,사진
 , ,곳
 , ,저녁
 , ,한번
 , ,더
 , ,포스팅
 , ,기대
 , ,서울
 , ,관악
 , ,봉천동
 , ,위치
 , ,진
 , ,순자
 , ,계란말이
 , ,김밥
 , ,본점
 , ,재
 , ,방문
 , ,계란말이
 , ,김밥
 , ,주문
 , ,이집
 , ,메인
 , ,음식
 , ,계란말이
 , ,김밥
 , ,탄생
 , ,비화
 , ,시장
 , ,장사
 , ,시절
 , ,계란부침
 , ,중
 , ,실수
 , ,김밥
 , ,계란
 , ,위
 , ,그
 , ,맛
 , ,시작
 , ,김밥
 , ,꼬마
 , ,김밥
 , ,사이즈
 , ,내용물
 , ,단무지
 , ,소시지
 , ,시금치
 , ,매우
 , ,단순
 , ,한편
 , ,주문
 , ,즉시
 , ,시기
 , ,때문
 , ,그냥
 , ,짭쪼름
 , ,매콤
 , ,장아찌
 , ,간도
 , ,중독
 , ,입
 , ,쏙쏙
 , ,은근
 , ,양
 , ,제
 , ,점수
 , ,요
 , ,점
 , ,만점
 , ,점
 , ,서울
 , ,용산
 , ,이촌동
 , ,위치
 , ,수퍼
 , ,판
 , ,퓨전
 , ,메뉴
 , ,구성
 , ,기대
 , ,런치
 , ,코스
 , ,주문
 , ,처
 , ,메뉴
 , ,시작
 , ,서리
 , ,태
 , ,마스
 , ,카포네
 , ,크림
 , ,치즈
 , ,콩
 , ,치즈
 , ,크랜베리
 , ,단맛
 , ,콤함
 , ,조화
 , ,수비드
 , ,문어
 , ,아보카도
