아이디,PK,단어
yujin.nn,1432448278,25
 , ,짝꿍
 , ,밤
 , ,날씨
 , ,면
 , ,힐링
 , ,연말
 , ,입
 , ,호강
 , ,처음
 , ,끝
 , ,크리스마스
 , ,날
 , ,또
 , ,한강
 , ,나들이
 , ,우유
 , ,잔
 , ,챱챱
 , ,요기
 , ,밤
 , ,날씨
 , ,주말
 , ,간다
 , ,내
 , ,널
