아이디,PK,단어
dbxgrx,1400389634,34
 , ,음
 , ,배불렁
 , ,내
 , ,머리
 , ,실장
 , ,대충
 , ,컬
 , ,머리
 , ,숱
 , ,걱정
 , ,커트
 , ,진짜
 , ,맘
 , ,듭니
 , ,아이디
 , ,헤어
 , ,원마운트
 , ,아이디
 , ,헤어
 , ,아이디
 , ,헤어
 , ,일산
 , ,미용실
 , ,아이디
 , ,헤어
 , ,원마운트
 , ,팔베개
 , ,케이스
 , ,옷입히깅
 , ,건강
 , ,난
 , ,아포
 , ,자기
 , ,서울
