아이디,PK,단어
kangna_moo,1455329191,3368
 , ,거제도
 , ,한번
 , ,선상
 , ,낚시
 , ,멀미
 , ,물고기
 , ,잡고
 , ,바늘
 , ,경험
 , ,이제
 , ,여름
 , ,휴가
 , ,휴가
 , ,선상
 , ,낚시
 , ,낚시
 , ,물고기
 , ,초밥
 , ,회
 , ,동영상
 , ,맛스타
 , ,그램
 , ,스타
 , ,그램
 , ,부림
 , ,먹방
 , ,폭
 , ,푸드파이터
 , ,거제도
 , ,여름
 , ,휴가
 , ,스타트
 , ,놈
 , ,코스
 , ,은
 , ,원래
 , ,코스
 , ,이집
 , ,예약
 , ,실패
 , ,급
 , ,변경
 , ,처음
 , ,우럭
 , ,조개
 , ,내장
 , ,쪽
 , ,취향
 , ,듯
 , ,시작
 , ,소주
 , ,병
 , ,여름
 , ,휴가
 , ,휴가
 , ,용
 , ,횟집
 , ,코끼리조개
 , ,우럭
 , ,개조
 , ,회덮밥
 , ,친
 , ,스타
 , ,그램
 , ,술
 , ,스타
 , ,그램
 , ,맛스타
 , ,그램
 , ,스타
 , ,그램
 , ,부림
 , ,먹방
 , ,폭
 , ,푸드파이터
 , ,대구
 , ,명
 , ,자리
 , ,생각
 , ,인석
 , ,거기
 , ,불
 , ,판도
 , ,개
 , ,삼겹살
 , ,젤
 , ,잔회
 , ,시장
 , ,미미
 , ,집
 , ,옛날
 , ,삼겹살
 , ,대패
 , ,삼겹살
 , ,삼겹살
 , ,볶음밥
 , ,친
 , ,스타
 , ,그램
 , ,술
 , ,스타
 , ,그램
 , ,맛스타
 , ,그램
 , ,스타
 , ,그램
 , ,부림
 , ,먹방
 , ,폭
 , ,푸드파이터
 , ,대구
 , ,급벙
 , ,약속
 , ,비산동
 , ,서민
 , ,고기
 , ,고기
 , ,벙술
 , ,스타
 , ,그램
 , ,맛스타
 , ,그램
 , ,스타
 , ,그램
 , ,부림
 , ,먹방
 , ,폭
 , ,푸드파이터
 , ,대구
 , ,어젠
 , ,목
 , ,살이
 , ,요즘
 , ,숯불
 , ,직화
 , ,팬
 , ,더
 , ,맛
 , ,계모임
 , ,저팔계
 , ,진해
 , ,막창절창목
 , ,막창친
 , ,스타
 , ,그램
 , ,술
 , ,스타
 , ,그램
 , ,맛스타
 , ,그램
 , ,스타
 , ,그램
 , ,부림
 , ,먹방
 , ,폭
 , ,푸드파이터
 , ,대구
 , ,고기
 , ,언제
 , ,침산동
 , ,박
 , ,대박
 , ,소금
 , ,구이
 , ,삼겹살
 , ,돼지고기
 , ,고기
 , ,맛스타
 , ,그램
 , ,스타
 , ,그램
 , ,부림
 , ,먹방
 , ,폭
 , ,푸드파이터
 , ,대구
 , ,원래
 , ,차로
 , ,치킨
 , ,거기
 , ,맛집
 , ,불금
 , ,건
 , ,자리
 , ,여기
 , ,여기
 , ,거의
 , ,만석
 , ,동네
 , ,사람
 , ,건가
 , ,진로
 , ,처음
 , ,끝맛
 , ,약간
 , ,대명동
 , ,차장
 , ,포장
 , ,진로
 , ,갈비
 , ,국수
 , ,오뎅
 , ,탕친
 , ,스타
 , ,그램
 , ,술
 , ,스타
 , ,그램
 , ,맛스타
 , ,그램
 , ,스타
 , ,그램
 , ,부림
 , ,먹방
 , ,폭
 , ,푸드파이터
 , ,대구
 , ,사진
 , ,점심
 , ,돼지갈비
 , ,무한리필
 , ,돼지
 , ,저녁
 , ,계모임
 , ,때문
 , ,소
 , ,돌판
 , ,등심
 , ,송이버섯
 , ,송이버섯
 , ,향
 , ,장난
 , ,계모임
 , ,잔회
 , ,대명동
 , ,청송
 , ,숯불
 , ,갈비
 , ,등심
 , ,송이
 , ,구이
 , ,소고기
 , ,등심
 , ,송이버섯
 , ,친
 , ,스타
 , ,그램
 , ,술
 , ,스타
 , ,그램
 , ,맛스타
 , ,그램
 , ,스타
 , ,그램
 , ,부림
 , ,먹방
 , ,폭
 , ,푸드파이터
 , ,대구
 , ,삼겹살
 , ,항정살
 , ,쭈꾸미
 , ,볶음밥
 , ,맛스타
 , ,그램
 , ,스타
 , ,그램
 , ,부림
 , ,먹방
 , ,폭
 , ,푸드파이터
 , ,대구
 , ,수육
 , ,쫀득한
 , ,가격
 , ,양
 , ,국밥
 , ,술
 , ,스타
 , ,그램
 , ,맛스타
 , ,그램
 , ,스타
 , ,그램
 , ,부림
 , ,먹방
 , ,폭
 , ,푸드파이터
 , ,대구
 , ,대박
 , ,거지
 , ,불
 , ,판이
 , ,공간
