아이디,PK,단어
junsngwon,224624576,49
 , ,네모
 , ,네모
 , ,네모
 , ,넌
 , ,넌
 , ,만하
 , ,만하
 , ,너
 , ,왜
 , ,거기
 , ,너
 , ,왜
 , ,거기
 , ,조성진
 , ,헌책방
 , ,것
 , ,하늘
 , ,구름
 , ,카페
 , ,크림
 , ,손가락
 , ,맛
 , ,쓰레기
 , ,옆
 , ,꽃집
 , ,수평
 , ,미학
 , ,아빠
 , ,댕댕
 , ,오빠
 , ,그
 , ,이유
 , ,그
 , ,아무
 , ,알
 , ,수가
 , ,모이
 , ,댁
 , ,춥다
 , ,눈
 , ,감자
 , ,내
 , ,충전기
 , ,간
 , ,이름
 , ,애
 , ,파란
 , ,대가리
 , ,몽마르트
