아이디,PK,단어
seohongseok___,1069039483,22
 , ,관리
 , ,뒤
 , ,가기
 , ,노
 , ,매너
 , ,이
 , ,바로
 , ,남친
 , ,벌써
 , ,나이스
 , ,강촌
 , ,정말
 , ,내일
 , ,춘천
 , ,닭갈비
 , ,삼천원
 , ,흙
 , ,겨울
 , ,온천
 , ,비
 , ,베스킨라빈스
 , ,손목
