아이디,PK,단어
jin_seo_1129,3263696480,37
 , ,바다
 , ,못
 , ,수고
 , ,혜연쌤
 , ,은퇴
 , ,꼭
 , ,한번
 , ,이제
 , ,마지막
 , ,저
 , ,제자
 , ,동생
 , ,쌤
 , ,하나
 , ,형
 , ,경주
 , ,또
 , ,경주
 , ,갈사
 , ,람
 , ,땅
 , ,돈
 , ,모든
 , ,때
 , ,사진
 , ,어플
 , ,다른사람
 , ,기도
 , ,사진
 , ,친구
 , ,스타
 , ,그램
 , ,으르렁
 , ,으르렁
 , ,아이스쇼
 , ,샤샤
 , ,샤
