아이디,PK,단어
chh_06,5050361605,30
 , ,요즘
 , ,데
 , ,일리
 , ,렌즈
 , ,착용
 , ,감
 , ,매일
 , ,착용
 , ,렌즈
 , ,상품
 , ,아리아
 , ,펄
 , ,그레이
 , ,렌즈
 , ,렌
 , ,시스
 , ,렌즈
 , ,추천
 , ,데
 , ,일리
 , ,렌즈
 , ,눈
 , ,스타
 , ,그램
 , ,피드
 , ,정리
 , ,쨘
 , ,귀
 , ,시팡
 , ,으어
